Bias,Sensor HV0,HV0,Sensor HV1,HV1,Sensor HV2,HV2,Sensor HV3,HV3,Sensor HV4,HV4,Sensor HV5,HV5,Sensor HV6,HV6,Sensor HV7,HV7,Notes,Attachments,Run Table,Configurations
38,,,,,"""HPK 3.1 4x4 8E14, FNAL""",625,,,"""HPK 3.1 4x4 4E14, UCSC""",450,"""HPK 3.1 1.3 mm 5E14 neq proton, UCSC""",450,Photek,4200,,,,,,48
39,,,,,"""HPK 3.1 4x4 8E14, FNAL""",625,,,,,,,Photek,4200,,,,,,"49,50,51,52,53,54,55,62,63,64"
40,,,,,"""HPK 3.1 4x4 8E14, FNAL""",650,,,,,,,Photek,4200,,,,,,56
41,,,,,,,"""HPK 3.1 4x4 1.5E15, FNAL""",500,,,,,Photek,4200,,,first 1.5E15 run,,,"57,58"
42,,,,,,,"""HPK 3.1 4x4 1.5E15, FNAL""",650,,,,,Photek,4200,,,,,,"59,60,61"
43,,,,,,,,,"""HPK 3.1 4x4 4E14, UCSC""",400,"""HPK 3.1 1.3 mm 5E14 neq proton, UCSC""",450,Photek,4200,,,,,,65
44,,,,,,,,,"""HPK 3.1 4x4 4E14, UCSC""",350,"""HPK 3.1 1.3 mm 5E14 neq proton, UCSC""",400,Photek,4200,,,,,,66
45,,,,,,,,,"""HPK 3.1 2x2 1.5E15, 4-ch UCSC""",600,,,Photek,4200,,,,,,69
46,,,,,,,,,"""HPK 3.1 2x2 1.5E15, 4-ch UCSC""",615,,,Photek,4200,,,,,,70
47,,,,,,,,,"""HPK 3.1 2x2 1.5E15, 4-ch UCSC""",630,,,Photek,4200,,,,,,71
48,,,FBK 2x8 1,200,,,,,,,,,Photek,4200,,,,,,72
49,,,FBK 2x8 1,240,,,,,,,,,Photek,4200,,,,,,"73,74,75,76,77,78,79"
50,,,,,"""HPK 3.1 4x4 prerad #2, FNAL""",195,,,,,,,Photek,4300,,,,,,"80,81,82,83,84,85,86"
51,,,,,"""HPK 3.1 4x4 prerad #2, FNAL""",205,,,,,,,Photek,4300,,,,,,87
52,,,,,"""HPK 3.1 4x4 prerad #2, FNAL""",175,,,,,,,Photek,4300,,,,,,88
53,,,,,"""HPK 3.1 4x4 prerad #2, FNAL""",185,,,,,,,Photek,4300,,,,,,89
54,,,,,,,"""HPK 3.1 4x4 4E14, FNAL""",450,,,,,Photek,4300,,,,,,"90,92,93,94,95,96,97"
55,,,,,,,"""HPK 3.1 4x4 4E14, FNAL""",400,,,,,Photek,,,4300,,,,91
56,,,,,,,"""HPK 3.1 4x4 4E14, FNAL""",500,,,,,Photek,4500,,,,,,"98,99,100,101,102,103"
